Security_Name,Yahoo_Ticker
NAHAR INDUSTRIAL ENTERPRISES LIMITED EQ EQ,NAHAR.NS
NEXTGEN ANIMATION MEDIAA LIMITED EQ,NEXTGEN.NS
PENTAMEDIA GRAPHICS LTD. EQ NEW RE.1/-,PENTAMEDIA.NS
SHAHI SHIPPING LIMITED EQ,SHAHI.NS
SILVERLINE TECHNOLOGIES LIMITED EQ NEW RS. 10/- EQ NEW RS. 10/-,SILVERLINE.NS
SOUTHERN HERBALS LIMITED EQ,SOUTHERN.NS
V L S FINANCE LIMITED EQ EQ,V.NS
VRL LOGISTICS LIMITED EQ EQ,VRL.NS
WELSPUN INVESTMENTS AND COMMERCIALS LIMITED EQ EQ,WELSPUN.NS
WELSPUN LIVING LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,WELSPUN.NS
WILLARD INDIA LIMITED EQ,WILLARD.NS
ALOK INDUSTRIES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,ALOK.NS
JAIPRAKASH POWER VENTURES LIMITED EQ,JAIPRAKASH.NS
JAYASWAL NECO INDUSTRIES LIMITED EQ EQ,JAYASWAL.NS
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED EQ EQ,METROPOLITAN.NS
ANTHEM BIOSCIENCES LIMITED EQ NEW FV Rs. 2/- EQ NEW FV Rs. 2/-,ANTHEM.NS
COMPUTER AGE MANAGEMENT SERVICES LIMITED EQ EQ,COMPANYMPUTER.NS
JSW CEMENT LIMITED EQ EQ,JSW.NS
ADITYA BIRLA SUN LIFE AMC LIMITED EQ NEW FV Rs.5/- EQ NEW FV Rs.5/-,ADITYA.NS
CANARA HSBC LIFE INSURANCE COMPANY LIMITED EQ EQ,CANARA.NS
HAPPIEST MINDS TECHNOLOGIES LIMITED EQ EQ,HAPPIEST.NS
