Security Name,Ticker
BAJAJ HOLDINGS & INVESTMENT LIMITED. EQ EQ,BAJAJHLDNG.NS
HEIDELBERGCEMENT INDIA LIMITED EQ,HEIDELBERG.NS
ARCH PHARMALABS LIMITED EQ,AARTIPHARM.NS
AURO LABORATORIES LIMITED EQ,ARVEE.NS
ICSA (INDIA) LTD EQ NEW RS. 2/-,ICSA.NS
MICRO TECHNOLOGIES INDIA LIMITED EQ,DIXON.NS
MONICA ELECTRONICS LIMITED EQ,MICEL.NS
NAHAR INDUSTRIAL ENTERPRISES LIMITED EQ EQ,NAHARINDUS.NS
OPAL INDUSTRIES LIMITED EQ,OPAL.NS
PRECISION WIRES INDIA LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,PRECISION.NS
ROLTA INDIA LIMITED EQ,ROLTA.NS
SAMBHAAV MEDIA LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,SAMBHAAV.NS
WELSPUN INVESTMENTS AND COMMERCIALS LIMITED EQ EQ,WELINV.NS
AARTI DRUGS LIMITED EQ EQ,AARTIDRUGS.NS
GATEWAY DISTRIPARKS LIMITED EQ,GATEWAY.NS
ITC HOTELS LIMITED EQ EQ,ITC.NS
ITC LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,ITC.NS
JAIPRAKASH POWER VENTURES LIMITED EQ,JPPOWER.NS
JAYASWAL NECO INDUSTRIES LIMITED EQ EQ,JAYNECOIND.NS
JSW ENERGY LIMITED EQ EQ,JSWENERGY.NS
PUNJ LLOYD LIMITED EQ NEW FV RS.2/-,PUNJLLOYD.NS
UNITECH LIMITED EQ NEW FV RS.2/-,UNITECH.NS
